"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Abbasabadi,Narjes - ARCH-3323-1: CONSTRUCTIONMATERIALS/METHODS",,70,,29,,41%,,4.45,,4.55,,4.34,,4.21,,4.38,
"","Abbasabadi,Narjes - ARCH-3553-6: DESIGN STUDIO:ARCHITECTURE I",,13,,2,,15%,,2.5,,3,,2.5,,4.5,,5,
"","Abbasabadi,Narjes - ARCH-5323-1: CONSTRUCTION MATERIALS",,3,,2,,67%,,4.5,,4.5,,4,,5,,5,
"","Abdullah,Safiyah - NURS-4350-642: BSN CAPSTONE",,6,,6,,100%,,5,,5,,5,,5,,5,
"","Abediniangerabi,Bahram - CE-5327-1: CONSTR ESTIMATING &SCHEDULING",,7,,4,,57%,,4.75,,4.75,,4.75,,4.75,,4.75,
"","Abediniangerabi,Bahram - CE-5327-101: CONSTR ESTIMATING &SCHEDULING",,6,,4,,67%,,4.75,,4.75,,4.75,,4.75,,5,
"","Abediniangerabi,Bahram - CE-5387-1: CONSTRUCTIONPRODUCTIVITY",,9,,6,,nrollm6e7n%t,,Coun4t .83,,4.83,,4.83,,4.67,,4.83,
"","Abediniangerabi,Bahram - CM-5387-1: CONSTRUCTIONPRODUCTIVITY",,9,,7,,78%,,4.71,,4.57,,4.71,,4.71,,4.71,
"","Abediniangerabi,Bahram - CM-5387-900: CONSTRUCTIONPRODUCTIVITY",,2,,1,,50%,,5,,5,,5,,5,,5,
"","Abelanet,Katherine - ENGL-1301-: RHETORIC AND COMPOSITIONI",,19,,8,,espon4s2e%,,"ate4.71",,4.71,,5,,4.57,,4.86,
"","Abelanet,Katherine - ENGL-1302-11: RHETORIC ANDCOMPOSITION II",,21,,4,,Instru1c9to%r,,"clearly5",,5,,5,,5,,5,
"","Abelanet,Katherine - ENGL-1302-6: RHETORIC ANDCOMPOSITION II",,23,,8,,"efined/exbjecti3v5e%s",,"lainedxpec4ta.6t3i",,"ns4.63",,4.75,,4.5,,4.63,
"","Abelanet,Katherine - ENGL-2338-10: TECHNICAL WRITING",,21,,6,,29%,,4.83,,4.83,,4.83,,4.67,,5,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Abelanet,Katherine - ENGL-301-: INTEGRATED READING &WRITING",,10,,3,,30%,,5,,4.67,,5,,4.33,,4.67,
"","Abellanoza,Adrian - PSYC-4412-3: ADV TOP IN SOCIALPSYCHOLOGY",,30,,11,,37%,,4.18,,3.73,,3.55,,4.09,,3.45,
"","Adams,John - FINA-3313-1: BUSINESS FINANCE",,7,,1,,14%,,4,,4,,3,,4,,4,
"","Adams,John - FINA-3313-1: BUSINESS FINANCE",,91,,29,,32%,,3.62,,3.66,,3.55,,3.48,,4,
"","Adams,John - FINA-3313-10: BUSINESS FINANCE",,9,,3,,33%,,3.33,,3,,3,,3.67,,3.33,
"","Adams,John - FINA-3313-900: BUSINESS FINANCE",,6,,5,,83%,,4.2,,4,,4,,4.2,,4.6,
"","Adams,John - FINA-6312-1: SEMINAR THEORY OF INVESTMENTS",,7,,3,,43%,,5,,4.67,,5,,5,,5,
"","Adams,John - PSYC-1315-1: INTRO TO PSYCHOLOGY",,122,,40,,33%,,4.5,,4.39,,4.47,,4.47,,4.39,
"","Adams,John - PSYC-1315-900: INTRO TO PSYCHOLOGY",,2,,2,,100%,,5,,5,,5,,5,,5,
"","Adams,John - PSYC-3310-3: DEVELOPMENTAL PSYCHOLOGY",,206,,57,,nrollm2e8n%t,,Coun4t .39,,4.42,,4.42,,4.4,,4.49,
"","Adams,John - PSYC-3310-900: DEVELOPMENTAL PSYCHOLOGY",,2,,1,,50%,,3,,4,,3,,3,,3,
"","Adams,Renee - NURS-4581-821: NURS ADULTS WITH COMPLEXNEEDS",,8,,3,,38%,,5,,5,,5,,5,,5,
"","Adams,Sandra - LIST-5361-5: LANG LEARNING: EDUC PERSPECT",,72,,33,,espon4s6e%,,"ate4.15",,4.18,,4.15,,4.24,,4.33,
"","Adams,Shauntel - SOCW-5482-130: ADVANCED FIELD SPLIT I",,39,,17,,44%,,3.69,,3.71,,3.69,,3.79,,3.98,
"","Adams,Shicobie - NURS-5120-437: ADULT-GERONTOLOGYASSESSMENT",,10,,2,,"Instructorefined2/0e%x",,"clearlylained4",,3.5,,3.5,,4,,4,
"","Adams,Shicobie - NURS-5120-469: ADULT-GERONTOLOGYASSESSMENT",,9,,3,,"bjectives33%",,"xpectati4.33",,"ns4",,4,,4.33,,4,
"",Instructor and Course,,,,,,,,,,,,,,,,,
"","Adebayo,Akolade - PHYS-1441-9: GENERAL COLLEGE PHYSICS I",,28,,8,,29%,,4.25,,4.5,,4.38,,3.88,,4.5,
"","Adebayo,Akolade - PHYS-1443-15: GENERAL TECHNICAL PHYSICSI",,31,,10,,32%,,4.5,,4.3,,4.3,,4.4,,4.5,
"","Adegbola,Maxine - NURS-3321-1: NURSING RESEARCH",,80,,22,,28%,,3.32,,3.77,,3.14,,3.82,,3.36,
"","Adegbola,Maxine - NURS-5327-401: EXPLOR SCI & THEORIES-NURSING",,186,,80,,43%,,4.44,,4.39,,4.35,,4.35,,4.32,
"","Adkins,Lindsay - NURS-4350-647: BSN CAPSTONE",,5,,1,,20%,,4,,3,,4,,4,,4,
"","Adnan,Ashfaq - MAE-2312-4: SOLID MECHANICS",,38,,12,,32%,,4.64,,4.64,,4.18,,4.27,,4.55,
"","Adnan,Ashfaq - MAE-3315-1: AEROSPACE STRUCTURAL STATICS",,55,,19,,35%,,4.37,,4.37,,4.32,,4.32,,4.42,
"","Adrion,Karley - ART-2354-1: TYPOGRAPHY",,16,,5,,31%,,4.8,,4.8,,4.8,,4.8,,4.8,
"","Aduddell,Rebekah - MATH-2425-250: CALCULUS II",,38,,29,,nrollm7e6n%t,,Coun4t .62,,4.66,,4.59,,4.52,,4.76,
"","Afroz,Tahmina - CHEM-2182-2: ORGANIC CHEMISTRY II LAB",,16,,6,,38%,,3.17,,4.17,,3.17,,3.83,,2.67,
"","Afroz,Tahmina - CHEM-2182-4: ORGANIC CHEMISTRY II LAB",,15,,5,,33%,,3.2,,3.8,,3,,3.6,,4,
"","Afshar,Katherine - NURS-5120-415: ADULT-GERONTOLOGYASSESSMENT",,10,,3,,30%,,4.67,,4.67,,5,,5,,5,
"","Agbonoga,Shuaib Ikhianosime - CHEM-1451-105: CHEMISTRYFOR HEALTH SCIENCES",,28,,4,,espon1s4e%,,"ate3.5",,3.5,,2.75,,3.75,,3,
"","Agbonoga,Shuaib Ikhianosime - CHEM-1451-106: CHEMISTRYFOR HEALTH SCIENCES",,8,,1,,Instru1c3to%r,,"clearly3",,4,,2,,5,,4,
"","Agbonoga,Shuaib Ikhianosime - CHEM-1451-106: CHEMISTRYFOR HEALTH SCIENCES",,22,,10,,"efined/exbjecti4v5e%s",,"lainedxpecta3t.7i",,"ns3.8",,3.8,,3.7,,4.6,
